ANDHRA PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL
,,,,,Titan Company Limited14,,,,,,,,,,,,,,,,,,,,,,
,,,,,WIPRO LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,TATA STEEL LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,TECH MAHINDRA LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,BHARAT PETROLEUM CORPORATION LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,BAJAJ AUTO LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,MAHINDRA & MAHINDRA LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,INDUSIND BANK LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,BAJAJ FINSERV LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,INDIAN OIL CORPORATION LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bajaj Finance Limited14,,,,,,,,,,,,,,,,,,,,,,
,,,,,LARSEN & TOUBRO LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,KOTAK MAHINDRA BANK LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,STATE BANK OF INDIA14,,,,,,,,,,,,,,,,,,,,,,
,,,,,HOUSING DEVELOPMENT FINANCE CORP.LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,HINDUSTAN UNILEVER LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,TATA CONSULTANCY SERVICES LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,RELIANCE INDUSTRIES LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,BRITANNIA INDUSTRIES LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,COAL INDIA LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,ITC LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,ICICI BANK LTD.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,SHREE CEMENT LTD.14,,,,,,,,,,,,,,,,,,,,,,
