,meanHQ,meanER,Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,VEDANTA LIMITEDER,JSW STEEL LTD.ER,TITAN COMPANY LIMITEDER,BRITANNIA INDUSTRIES LTD.ER,POWER GRID CORPORATION OF INDIA LTD.ER_x,GODREJ CONSUMER PRODUCTS LTD.ER_x,MAHINDRA & MAHINDRA LTD.ER_x,INDUSIND BANK LTD.ER_x,ULTRATECH CEMENT LTD.ER_x,TATA CONSULTANCY SERVICES LTD.ER_x,RELIANCE INDUSTRIES LTD.ER_x,COAL INDIA LTD.ER_x,POWER GRID CORPORATION OF INDIA LTD.ER_y,GODREJ CONSUMER PRODUCTS LTD.ER_y,MAHINDRA & MAHINDRA LTD.ER_y,INDUSIND BANK LTD.ER_y,ULTRATECH CEMENT LTD.ER_y,TATA CONSULTANCY SERVICES LTD.ER_y,RELIANCE INDUSTRIES LTD.ER_y,COAL INDIA LTD.ER_y,HINDUSTAN UNILEVER LTD.ER,OIL AND NATURAL GAS CORPORATION LTD.ER,DABUR INDIA LTD.ER_x,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER,HERO MOTOCORP LTD.ER,DABUR INDIA LTD.ER_y,BAJAJ AUTO LTD.ER,HINDUSTAN ZINC LTD.ER
33,3.285,3.0200355152760094,November-2016,6.28,-0.02,2.7,-13.48,-4.03,15.66,8.3,-9.75,9.46,10.02,8.81,9.5,4.92,5.56,5.46,-9.75,9.46,10.02,8.81,9.5,4.92,5.56,5.46,-0.48,0.33,3.03,-7.87,-4.53,5.53,3.03,5.28,-11.76
34,-2.5183333333333335,1.633418682272039,December-2016,-2.35,-1.91,-3.61,5.85,5.9,-1.15,5.12,4.45,-4.12,0.13,-1.66,9.69,-3.74,-8.8,2.66,4.45,-4.12,0.13,-1.66,9.69,-3.74,-8.8,2.66,2.13,33.75,2.22,-0.95,-3.06,3.92,2.22,1.86,9.5
35,0.9358333333333335,-2.051835649226155,January-2017,-5.44,3.57,8.05,-17.04,87.79,-11.37,-8.5,-12.59,-4.57,-4.64,-13.1,-13.8,5.59,3.4,-3.3,-12.59,-4.57,-4.64,-13.1,-13.8,5.59,3.4,-3.3,-3.49,-5.59,0.29,-4.89,2.24,-4.42,0.29,-7.74,-16.83
36,-3.4808333333333334,-3.534439377474181,February-2017,2.5,-6.87,-8.93,-2.35,5.9,-20.36,-3.26,7.04,-4.41,-5.45,-4.9,-2.13,-10.61,-18.67,-3.84,7.04,-4.41,-5.45,-4.9,-2.13,-10.61,-18.67,-3.84,-1.14,4.33,0.14,5.59,-3.86,1.39,0.14,2.8,-3.22
37,-4.343333333333333,-1.8742205602246458,March-2017,-5.52,-5.5,-0.84,-6.02,-0.48,-5.65,-4.76,-2.71,-1.17,1.7,-7.27,-5.77,1.44,-6.54,9.01,-2.71,-1.17,1.7,-7.27,-5.77,1.44,-6.54,9.01,-5.19,4.32,-0.47,-1.75,-3.92,-2.83,-0.47,-1.79,6.23
38,3.5808333333333335,-0.596836143029661,April-2017,-0.66,4.12,9.93,11.32,-6.08,-2.16,-7.23,-5.27,-4.36,-3.88,-2.52,-6.25,6.54,-5.73,5.45,-5.27,-4.36,-3.88,-2.52,-6.25,6.54,-5.73,5.45,-2.74,-0.68,-3.39,0.93,6.96,-2.69,-3.39,-2.17,6.92
39,-5.147500000000001,-1.668329256036069,May-2017,-1.63,-8.71,-6.26,1.89,2.49,-0.73,2.6,-0.1,-3.92,-6.13,-2.39,0.99,-11.98,3.89,4.89,-0.1,-3.92,-6.13,-2.39,0.99,-11.98,3.89,4.89,-14.13,4.97,2.43,2.65,-6.52,-13.05,2.43,0.85,10.69
40,18.33416666666667,5.527671614977236,June-2017,0.0,51.83,4.23,-4.21,-4.74,-10.3,-4.57,-1.32,46.7,4.85,-0.03,5.57,7.07,-2.96,7.25,-1.32,46.7,4.85,-0.03,5.57,7.07,-2.96,7.25,-1.39,11.16,-4.49,1.0,1.7,1.23,-4.49,1.88,-9.48
41,-7.2275,-6.441167153767817,July-2017,-3.14,-11.69,-8.09,-12.29,-8.93,-3.74,-6.15,-5.94,-7.21,-4.03,-10.93,-2.44,-5.49,-16.92,-2.03,-5.94,-7.21,-4.03,-10.93,-2.44,-5.49,-16.92,-2.03,-6.63,-7.66,-6.14,-3.57,-4.49,1.15,-6.14,-0.61,-7.25
42,4.683333333333334,0.09267514763668598,August-2017,8.33,-3.48,9.49,-10.19,-15.06,-13.51,-7.41,2.11,10.29,4.08,-0.9,1.51,-0.11,1.26,4.48,2.11,10.29,4.08,-0.9,1.51,-0.11,1.26,4.48,-5.55,7.29,-1.61,-2.8,3.02,-9.41,-1.61,-0.03,-4.68
